year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,نوفمبر,جده,حي/الامير فواز الجنوبى,877500,600.0,1,معتمدة,,
2018,فبراير,جده,حي/الامير فواز بن عبدالعزيز,6697000,5400.0,6,معتمدة,,
2018,مارس,جده,حي/الامير فواز بن عبدالعزيز,2520000,1800.0,2,معتمدة,,
2018,ابريل,جده,حي/الامير فواز بن عبدالعزيز,6612830,4500.0,5,معتمدة,,
2018,مايو,جده,حي/الامير فواز بن عبدالعزيز,3800000,3595.5,4,معتمدة,,
2018,يوليو,جده,حي/الامير فواز بن عبدالعزيز,2400000,1795.5,2,معتمدة,,
2018,اوغسطس,جده,حي/الامير فواز بن عبدالعزيز,500000,900.0,1,معتمدة,,
2018,سبتمبر,جده,حي/الامير فواز بن عبدالعزيز,1000000,900.0,1,معتمدة,,
2018,اكتوبر,جده,حي/الامير فواز بن عبدالعزيز,9235000,6300.0,7,معتمدة,,
2018,نوفمبر,جده,حي/الامير فواز بن عبدالعزيز,2000000,900.0,1,معتمدة,,
2018,ديسمبر,جده,حي/الامير فواز بن عبدالعزيز,8500000,2674.95,2,معتمدة,,
2018,يناير,جده,حي/الاندلس,4480000,1096.5,2,معتمدة,,
2018,فبراير,جده,حي/الاندلس,20100000,5900.0,7,معتمدة,,
2018,مارس,جده,حي/الاندلس,3200000,2083.5,3,معتمدة,,
2018,ابريل,جده,حي/الاندلس,4200000,1263.0,2,معتمدة,,
2018,مايو,جده,حي/الاندلس,7600000,1799.5,3,معتمدة,,
2018,يونيو,جده,حي/الاندلس,3050000,450.0,1,معتمدة,,
2018,يوليو,جده,حي/الاندلس,18800000,5528.0,2,معتمدة,,
2018,اوغسطس,جده,حي/الاندلس,11720000,1729.77,1,معتمدة,,
2018,سبتمبر,جده,حي/الاندلس,4000000,690.0,1,معتمدة,,
2018,اكتوبر,جده,حي/الاندلس,179000000,8078.75,1,معتمدة,,
2018,نوفمبر,جده,حي/الاندلس,2500000,805.0,1,معتمدة,,
2018,ديسمبر,جده,حي/الاندلس,20400000,2115.0,2,معتمدة,,
2018,يناير,جده,حي/البحيرات,1560000,3370.5,4,معتمدة,,
2018,فبراير,جده,حي/البحيرات,6333479,10838.95,11,معتمدة,,
2018,مارس,جده,حي/البحيرات,12359188,8511.12,10,معتمدة,,
2018,ابريل,جده,حي/البحيرات,9923685,11950.93,12,معتمدة,,
2018,مايو,جده,حي/البحيرات,2987500,6120.679999999999,7,معتمدة,,
2018,يونيو,جده,حي/البحيرات,1750000,3370.5,4,معتمدة,,
2018,يوليو,جده,حي/البحيرات,3317676,7762.0,9,معتمدة,,
2018,اوغسطس,جده,حي/البحيرات,3842500,6455.5,7,معتمدة,,
2018,سبتمبر,جده,حي/البحيرات,730000,895.5,1,معتمدة,,
