year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type,month_order
2018,نوفمبر,الدمام,حي/249/ 1,1100000,414.17,1,معتمدة,,,11
2018,ديسمبر,الدمام,حي/249/ 1,950000,400.0,1,معتمدة,,,12
2018,يناير,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1875000,21013.63,9,معتمدة,,,1
2018,فبراير,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1900000,61590.87000000001,6,معتمدة,,,2
2018,مارس,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1230000,13931.74,6,معتمدة,,,3
2018,ابريل,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,2390000,31981.182,15,معتمدة,,,4
2018,مايو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,1775000,22620.882,11,معتمدة,,,5
2018,يونيو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,805000,16020.0,4,معتمدة,,,6
2018,يوليو,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,3600000,60680.9,7,معتمدة,,,7
2018,اوغسطس,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,710000,4649.969999999999,2,معتمدة,,,9
2018,اكتوبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,310000,2321.8,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,7000000,50000.9,1,معتمدة,,,11
2018,ديسمبر,الدمام,حي/3143 الواقع شمال طريق الرياض الدمام السريع,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/337/ 1,159356339,9940.91,15,معتمدة,,,1
2018,فبراير,الدمام,حي/337/ 1,14582480,6174.25,12,معتمدة,,,2
2018,مارس,الدمام,حي/337/ 1,18920200,6526.17,16,معتمدة,,,3
2018,ابريل,الدمام,حي/337/ 1,56416530,18489.85,12,معتمدة,,,4
2018,مايو,الدمام,حي/337/ 1,51183966,18532.64,20,معتمدة,,,5
2018,يونيو,الدمام,حي/337/ 1,18100000,7919.74,6,معتمدة,,,6
2018,يوليو,الدمام,حي/337/ 1,17303836,6569.79,14,معتمدة,,,7
2018,اوغسطس,الدمام,حي/337/ 1,87272417,18695.68,13,معتمدة,,,8
2018,سبتمبر,الدمام,حي/337/ 1,95761581,34201.35,15,معتمدة,,,9
2018,اكتوبر,الدمام,حي/337/ 1,21910350,8861.660000000002,16,معتمدة,,,10
2018,نوفمبر,الدمام,حي/337/ 1,16718092,7574.49,11,معتمدة,,,11
2018,ديسمبر,الدمام,حي/337/ 1,106947491,23418.68,30,معتمدة,,,12
2018,ابريل,الدمام,حي/37/ 1,0,0.0,0,معتمدة,,,4
2018,يناير,الدمام,حي/381/ 1,0,0.0,0,معتمدة,,,1
2018,سبتمبر,الدمام,حي/381/ 1,0,0.0,0,معتمدة,,,9
2018,ابريل,الدمام,حي/399/ 1,0,0.0,0,معتمدة,,,4
2018,يناير,الدمام,حي/404/ 1,3094240,19339.0,1,معتمدة,,,1
2018,مايو,الدمام,حي/404/ 1,26232000,52464.0,1,معتمدة,,,5
2018,يناير,الدمام,حي/413/1,200000,37.5,1,معتمدة,,,1
2018,فبراير,الدمام,حي/461/ 1,0,0.0,0,معتمدة,,,2
2018,ابريل,الدمام,حي/475/ 1,0,0.0,0,معتمدة,,,4
2018,فبراير,الدمام,حي/482/ 1,0,0.0,0,معتمدة,,,2
2018,يونيو,الدمام,حي/482/ 1,0,0.0,0,معتمدة,,,6
2018,نوفمبر,الدمام,حي/499/ 1,1500000,2451.77,1,معتمدة,,,11
2018,يناير,الدمام,حي/582/ 1,1080000,568.9,1,معتمدة,,,1
2018,يونيو,الدمام,حي/582/ 1,0,0.0,0,معتمدة,,,6
2018,فبراير,الدمام,حي/61/ 1,787500,1575.0,3,معتمدة,,,2
2018,مايو,الدمام,حي/61/ 1,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/61/ 1,0,0.0,0,معتمدة,,,6
2018,سبتمبر,الدمام,حي/61/ 1,830000,397.5,1,معتمدة,,,9
2018,ديسمبر,الدمام,حي/61/ 1,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/64/ 1,0,0.0,0,معتمدة,,,1
2018,اكتوبر,الدمام,حي/65/1,1150000,500.0,1,معتمدة,,,10
2018,يونيو,الدمام,حي/657/ 1,0,0.0,0,معتمدة,,,6
2018,نوفمبر,الدمام,حي/657/ 1,0,0.0,0,معتمدة,,,11
2018,مارس,الدمام,حي/662/ 1,0,0.0,0,معتمدة,,,3
2018,يونيو,الدمام,حي/708/ 1,0,0.0,0,معتمدة,,,6
2018,يونيو,الدمام,حي/739/ 1,0,0.0,0,معتمدة,,,6
2018,اوغسطس,الدمام,حي/739/ 1,0,0.0,0,معتمدة,,,8
2018,ديسمبر,الدمام,حي/739/ 1,0,0.0,0,معتمدة,,,12
2018,ديسمبر,الدمام,حي/75/ 1,0,0.0,0,معتمدة,,,12
2018,نوفمبر,الدمام,حي/762/ 1,1800000,690.0,1,معتمدة,,,11
2018,فبراير,الدمام,حي/765/ 1,0,0.0,0,معتمدة,,,2
2018,ديسمبر,الدمام,حي/766/ 1,0,0.0,0,معتمدة,,,12
2018,مارس,الدمام,حي/77/ 1,0,0.0,0,معتمدة,,,3
2018,نوفمبر,الدمام,حي/77/ 1,0,0.0,0,معتمدة,,,11
2018,يناير,الدمام,حي/791/ 1,0,0.0,0,معتمدة,,,1
2018,فبراير,الدمام,حي/791/ 1,0,0.0,0,معتمدة,,,2
2018,ديسمبر,الدمام,حي/8/ 92,200000,226.8,1,معتمدة,,,12
2018,يونيو,الدمام,حي/813/ ش . د,1706390,510.6,1,معتمدة,,,6
2018,يناير,الدمام,حي/826/ ش . د,0,0.0,0,معتمدة,,,1
2018,فبراير,الدمام,حي/826/ ش . د,829280,191.97,1,معتمدة,,,2
2018,ابريل,الدمام,حي/826/ ش . د,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/826/ ش . د,500000,262.25,1,معتمدة,,,5
2018,ابريل,الدمام,حي/834/ 1,0,0.0,0,معتمدة,,,4
2018,يوليو,الدمام,حي/834/ 1,0,0.0,0,معتمدة,,,7
2018,سبتمبر,الدمام,حي/834/ 1,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/834/ 1,0,0.0,0,معتمدة,,,10
2018,ديسمبر,الدمام,حي/834/ 1,140000,119.52,1,معتمدة,,,12
2018,يناير,الدمام,حي/841ش.د,750000,570.95,1,معتمدة,,,1
2018,فبراير,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,3
2018,ابريل,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/841ش.د,2518000,1404.05,2,معتمدة,,,5
2018,يونيو,الدمام,حي/841ش.د,930000,1145.1,1,معتمدة,,,6
2018,يوليو,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/841ش.د,2000000,1129.64,1,معتمدة,,,8
2018,سبتمبر,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/841ش.د,1750000,792.11,1,معتمدة,,,11
2018,ديسمبر,الدمام,حي/841ش.د,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/885 ش.د,200000,1875.0,1,معتمدة,,,1
2018,فبراير,الدمام,حي/885 ش.د,375000,1937.5,1,معتمدة,,,2
2018,مارس,الدمام,حي/885 ش.د,750000,3750.0,2,معتمدة,,,3
2018,ابريل,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/885 ش.د,150000,547.5,1,معتمدة,,,9
2018,اكتوبر,الدمام,حي/885 ش.د,100000,500.0,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/885 ش.د,0,0.0,0,معتمدة,,,11
2018,ديسمبر,الدمام,حي/885 ش.د,200000,986.67,1,معتمدة,,,12
2018,يناير,الدمام,حي/913/ ش.د,0,0.0,0,معتمدة,,,1
2018,فبراير,الدمام,حي/913/ ش.د,0,0.0,0,معتمدة,,,2
2018,ابريل,الدمام,حي/913/ ش.د,0,0.0,0,معتمدة,,,4
2018,يونيو,الدمام,حي/913/ ش.د,761359,480.33,1,معتمدة,,,6
2018,نوفمبر,الدمام,حي/913/ ش.د,0,0.0,0,معتمدة,,,11
2018,ابريل,الدمام,حي/934/ ش.د معدل,72588000,47485.13,2,معتمدة,,,4
2018,اكتوبر,الدمام,حي/934/ ش.د معدل,4000000,5250.0,1,معتمدة,,,10
2018,فبراير,الدمام,حي/947/ ش.د,0,0.0,0,معتمدة,,,2
2018,ابريل,الدمام,حي/947/ ش.د,945000,893.8,1,معتمدة,,,4
2018,يونيو,الدمام,حي/947/ ش.د,1146719,992.83,1,معتمدة,,,6
2018,سبتمبر,الدمام,حي/947/ ش.د,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/947/ ش.د,1290000,1041.93,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/947/ ش.د,0,0.0,0,معتمدة,,,11
2018,ديسمبر,الدمام,حي/947/ ش.د,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/أخرى,410000,418.0,1,معتمدة,,,1
2018,فبراير,الدمام,حي/أخرى,7300000,50502.0,2,معتمدة,,,2
2018,مارس,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,3
2018,ابريل,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/أخرى,2000000,1869.64,2,معتمدة,,,8
2018,سبتمبر,الدمام,حي/أخرى,1363500,1350.0,2,معتمدة,,,9
2018,اكتوبر,الدمام,حي/أخرى,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/أخرى,110847868,45357.44,3,معتمدة,,,11
2018,ديسمبر,الدمام,حي/أخرى,1230000,2331.35,4,معتمدة,,,12
2018,يناير,الدمام,حي/احد,12151008,6223.03,13,معتمدة,,,1
2018,فبراير,الدمام,حي/احد,13700621,6471.11,15,معتمدة,,,2
2018,مارس,الدمام,حي/احد,7169654,4141.71,10,معتمدة,,,3
2018,ابريل,الدمام,حي/احد,8555804,5360.19,13,معتمدة,,,4
2018,مايو,الدمام,حي/احد,4796431,2566.02,8,معتمدة,,,5
2018,يونيو,الدمام,حي/احد,550000,268.13,1,معتمدة,,,6
2018,يوليو,الدمام,حي/احد,13163283,4484.209999999999,9,معتمدة,,,7
2018,اوغسطس,الدمام,حي/احد,9968403,5935.789999999999,16,معتمدة,,,8
2018,سبتمبر,الدمام,حي/احد,9343105,7218.25,15,معتمدة,,,9
2018,اكتوبر,الدمام,حي/احد,27789006,11588.34,19,معتمدة,,,10
2018,نوفمبر,الدمام,حي/احد,5079444,2654.68,7,معتمدة,,,11
2018,ديسمبر,الدمام,حي/احد,6698836,5325.85,10,معتمدة,,,12
2018,سبتمبر,الدمام,حي/احد تجارى,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/احد تجارى,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/احد تجارى,0,0.0,0,معتمدة,,,11
2018,يناير,الدمام,حي/الأنوار,124046600,18892.29,5,معتمدة,,,1
2018,فبراير,الدمام,حي/الأنوار,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/الأنوار,15881000,8624.66,4,معتمدة,,,3
2018,ابريل,الدمام,حي/الأنوار,0,0.0,0,معتمدة,,,4
2018,اكتوبر,الدمام,حي/الأنوار,4741114,4610.9042,6,معتمدة,,,10
2018,ديسمبر,الدمام,حي/الأنوار,43044439,27462.42,10,معتمدة,,,12
2018,يناير,الدمام,حي/الاتصالات,1650000,400.0,1,معتمدة,,,1
2018,فبراير,الدمام,حي/الاتصالات,732000,400.0,1,معتمدة,,,2
2018,مارس,الدمام,حي/الاتصالات,0,0.0,0,معتمدة,,,3
2018,ابريل,الدمام,حي/الاتصالات,1628500,800.0,2,معتمدة,,,4
2018,مايو,الدمام,حي/الاتصالات,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/الاتصالات,500000,425.0,1,معتمدة,,,6
2018,يوليو,الدمام,حي/الاتصالات,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الاتصالات,200000,400.0,1,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الاتصالات,2530000,1546.82,3,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الاتصالات,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الاتصالات,2380469,1725.0,4,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الاتصالات,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/الاثير,75160000,38618.72,5,معتمدة,,,1
2018,فبراير,الدمام,حي/الاثير,2080000,1000.0,3,معتمدة,,,2
2018,مارس,الدمام,حي/الاثير,1000000,963.75,1,معتمدة,,,3
2018,ابريل,الدمام,حي/الاثير,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/الاثير,1200000,871.09,1,معتمدة,,,5
2018,يونيو,الدمام,حي/الاثير,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/الاثير,320000,1500.0,3,معتمدة,,,7
2018,سبتمبر,الدمام,حي/الاثير,850000,600.0,1,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الاثير,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الاثير,300000,1290.5,1,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الاثير,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/الاسكان,3050000,3096.04,12,معتمدة,,,1
2018,فبراير,الدمام,حي/الاسكان,2665000,2552.780000000001,10,معتمدة,,,2
2018,مارس,الدمام,حي/الاسكان,1540000,1537.76,6,معتمدة,,,3
2018,ابريل,الدمام,حي/الاسكان,2582500,2586.81,10,معتمدة,,,4
2018,مايو,الدمام,حي/الاسكان,3500000,3592.12,14,معتمدة,,,5
2018,يونيو,الدمام,حي/الاسكان,2000000,2050.99,8,معتمدة,,,6
2018,يوليو,الدمام,حي/الاسكان,2250000,2308.31,9,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الاسكان,3600000,3840.150000000001,15,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الاسكان,2600000,2599.08,10,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الاسكان,3350000,3587.87,14,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الاسكان,1890044,2052.01,8,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الاسكان,1893000,1798.37,7,معتمدة,,,12
2018,يناير,الدمام,حي/الامانة,9054000,12148.58,17,معتمدة,,,1
2018,فبراير,الدمام,حي/الامانة,7232500,6937.02,11,معتمدة,,,2
2018,مارس,الدمام,حي/الامانة,13662067,14481.54,22,معتمدة,,,3
2018,ابريل,الدمام,حي/الامانة,9293047,11731.73,18,معتمدة,,,4
2018,مايو,الدمام,حي/الامانة,10251152,11073.61,19,معتمدة,,,5
2018,يونيو,الدمام,حي/الامانة,3520000,2838.48,4,معتمدة,,,6
2018,يوليو,الدمام,حي/الامانة,6681000,9528.0,14,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الامانة,6160000,6640.0,10,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الامانة,8987674,12105.83,19,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الامانة,15512793,18063.5,27,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الامانة,10643000,14805.32,23,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الامانة,19598676,24933.48,40,معتمدة,,,12
2018,يناير,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,1
2018,فبراير,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,3
2018,ابريل,الدمام,حي/الامراء,801000,5767.469999999999,2,معتمدة,,,4
2018,مايو,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,6
2018,اوغسطس,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الامراء,180000,613.8,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الامراء,0,0.0,0,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الامراء,1175000,4963.8,3,معتمدة,,,12
2018,يناير,الدمام,حي/الانوار,4200000,9982.0,1,معتمدة,,,1
2018,فبراير,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,3
2018,يونيو,الدمام,حي/الانوار,800000,2750.0,1,معتمدة,,,6
2018,يوليو,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,7
2018,اكتوبر,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الانوار,0,0.0,0,معتمدة,,,12
2018,يناير,الدمام,حي/البادية,3082922,1050.44,3,معتمدة,,,1
2018,فبراير,الدمام,حي/البادية,3964000,1361.07,5,معتمدة,,,2
2018,مارس,الدمام,حي/البادية,3689600,1501.49,5,معتمدة,,,3
2018,ابريل,الدمام,حي/البادية,600000,400.0,1,معتمدة,,,4
2018,مايو,الدمام,حي/البادية,1245000,487.835,3,معتمدة,,,5
2018,يونيو,الدمام,حي/البادية,89500,81.23,1,معتمدة,,,6
2018,يوليو,الدمام,حي/البادية,1698000,560.96,4,معتمدة,,,7
2018,اوغسطس,الدمام,حي/البادية,1407500,487.84,3,معتمدة,,,8
2018,سبتمبر,الدمام,حي/البادية,250000,108.43,1,معتمدة,,,9
2018,اكتوبر,الدمام,حي/البادية,2660000,3303.27,5,معتمدة,,,10
2018,نوفمبر,الدمام,حي/البادية,690000,376.28,2,معتمدة,,,11
2018,ديسمبر,الدمام,حي/البادية,2780000,813.0600000000001,3,معتمدة,,,12
2018,يناير,الدمام,حي/البحيرة,700000,211.12,1,معتمدة,,,1
2018,فبراير,الدمام,حي/البحيرة,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/البحيرة,450000,200.88,1,معتمدة,,,3
2018,ابريل,الدمام,حي/البحيرة,850000,210.88,1,معتمدة,,,4
2018,مايو,الدمام,حي/البحيرة,1100000,523.3199999999999,2,معتمدة,,,5
2018,يونيو,الدمام,حي/البحيرة,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/البحيرة,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/البحيرة,1040902,421.37,2,معتمدة,,,8
2018,سبتمبر,الدمام,حي/البحيرة,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/البحيرة,1099116,434.16,2,معتمدة,,,10
2018,نوفمبر,الدمام,حي/البحيرة,1240000,655.3,3,معتمدة,,,11
2018,ديسمبر,الدمام,حي/البحيرة,2376000,1320.0,2,معتمدة,,,12
2018,يناير,الدمام,حي/البديع,800000,640.08,1,معتمدة,,,1
2018,فبراير,الدمام,حي/البديع,2238866,1334.5,3,معتمدة,,,2
2018,مارس,الدمام,حي/البديع,66261,600.0,1,معتمدة,,,3
2018,ابريل,الدمام,حي/البديع,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/البديع,925741,495.5,1,معتمدة,,,5
2018,يونيو,الدمام,حي/البديع,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/البديع,4350000,1227.5,2,معتمدة,,,7
2018,اوغسطس,الدمام,حي/البديع,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/البديع,1392000,574.24,2,معتمدة,,,9
2018,اكتوبر,الدمام,حي/البديع,1285500,614.63,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/البديع,0,0.0,0,معتمدة,,,11
2018,ديسمبر,الدمام,حي/البديع,0,0.0,0,معتمدة,,,12
2018,سبتمبر,الدمام,حي/الترجى,0,0.0,0,معتمدة,,,9
2018,يناير,الدمام,حي/الترجى بالظهران,1700000,707.0,1,معتمدة,,,1
2018,فبراير,الدمام,حي/الترجى بالظهران,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/الترجى بالظهران,1400000,225.35,1,معتمدة,,,3
2018,ابريل,الدمام,حي/الترجى بالظهران,1116677,500.0,1,معتمدة,,,4
2018,مايو,الدمام,حي/الترجى بالظهران,1613320,256.08,1,معتمدة,,,5
2018,يونيو,الدمام,حي/الترجى بالظهران,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/الترجى بالظهران,2234408,1077.28,3,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الترجى بالظهران,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الترجى بالظهران,1350000,1294.76,3,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الترجى بالظهران,5802179,2375.68,4,معتمدة,,,10
2018,ديسمبر,الدمام,حي/الترجى بالظهران,2440000,394.72,2,معتمدة,,,12
2018,يناير,الدمام,حي/الجامعة,2200000,949.69,3,معتمدة,,,1
2018,فبراير,الدمام,حي/الجامعة,6350000,1325.52,4,معتمدة,,,2
2018,مارس,الدمام,حي/الجامعة,7410000,3094.62,11,معتمدة,,,3
2018,ابريل,الدمام,حي/الجامعة,4960000,1374.01,9,معتمدة,,,4
2018,مايو,الدمام,حي/الجامعة,4100000,1703.26,4,معتمدة,,,5
2018,يونيو,الدمام,حي/الجامعة,700000,184.69,1,معتمدة,,,6
2018,يوليو,الدمام,حي/الجامعة,2550000,678.5,4,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الجامعة,2300000,709.4,2,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الجامعة,590000,186.62,1,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الجامعة,650000,165.0,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الجامعة,1040000,324.17,2,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الجامعة,2564000,819.8399999999999,3,معتمدة,,,12
2018,يناير,الدمام,حي/الجامعيين,9625000,3847.42,5,معتمدة,,,1
2018,فبراير,الدمام,حي/الجامعيين,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/الجامعيين,1610000,1239.18,1,معتمدة,,,3
2018,ابريل,الدمام,حي/الجامعيين,0,0.0,0,معتمدة,,,4
2018,مايو,الدمام,حي/الجامعيين,1600000,1312.5,2,معتمدة,,,5
2018,يونيو,الدمام,حي/الجامعيين,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/الجامعيين,2289179,1927.19,2,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الجامعيين,1600000,1785.0,2,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الجامعيين,3600000,2159.15,2,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الجامعيين,2919000,1851.57,2,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الجامعيين,2800000,1767.5,2,معتمدة,,,11
2018,يناير,الدمام,حي/الجلوية,12760000,5562.48,9,معتمدة,,,1
2018,فبراير,الدمام,حي/الجلوية,4207384,2988.77,5,معتمدة,,,2
2018,مارس,الدمام,حي/الجلوية,4152913,2532.0,5,معتمدة,,,3
2018,ابريل,الدمام,حي/الجلوية,3500000,2225.0,4,معتمدة,,,4
2018,مايو,الدمام,حي/الجلوية,1500000,475.0,1,معتمدة,,,5
2018,يونيو,الدمام,حي/الجلوية,701200,500.0,1,معتمدة,,,6
2018,يوليو,الدمام,حي/الجلوية,655563,255.54,2,معتمدة,,,7
2018,اوغسطس,الدمام,حي/الجلوية,909737,1000.0,2,معتمدة,,,8
2018,سبتمبر,الدمام,حي/الجلوية,1686957,1100.0,2,معتمدة,,,9
2018,اكتوبر,الدمام,حي/الجلوية,5160210,3011.0,5,معتمدة,,,10
2018,نوفمبر,الدمام,حي/الجلوية,10800000,9123.04,10,معتمدة,,,11
2018,ديسمبر,الدمام,حي/الجلوية,3324747,1987.5,4,معتمدة,,,12
