year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,يونيو,الرياض,حي/الاندلس,3346588,1903.8,5,معتمدة,,
2018,يوليو,الرياض,حي/الاندلس,37606630,13835.77,21,معتمدة,,
2018,اوغسطس,الرياض,حي/الاندلس,4497475,2943.08,7,معتمدة,,
2018,سبتمبر,الرياض,حي/الاندلس,13339523,6115.7699999999995,16,معتمدة,,
2018,اكتوبر,الرياض,حي/الاندلس,22288801,10035.189999999999,22,معتمدة,,
2018,نوفمبر,الرياض,حي/الاندلس,4380713,2242.5,6,معتمدة,,
2018,ديسمبر,الرياض,حي/الاندلس,15657596,5212.45,13,معتمدة,,
2018,يناير,الرياض,حي/البديعة,8585000,7010.57,14,معتمدة,,
2018,فبراير,الرياض,حي/البديعة,16794375,8938.97,21,معتمدة,,
2018,مارس,الرياض,حي/البديعة,16521125,14822.13,24,معتمدة,,
2018,ابريل,الرياض,حي/البديعة,15477250,11833.61,22,معتمدة,,
2018,مايو,الرياض,حي/البديعة,16768926,12075.74,27,معتمدة,,
2018,يونيو,الرياض,حي/البديعة,5629587,2725.0,6,معتمدة,,
2018,يوليو,الرياض,حي/البديعة,27634600,21819.05,30,معتمدة,,
2018,اوغسطس,الرياض,حي/البديعة,5471102,3495.895,8,معتمدة,,
2018,سبتمبر,الرياض,حي/البديعة,16497684,12863.044600000001,32,معتمدة,,
2018,اكتوبر,الرياض,حي/البديعة,17551933,12606.434000000001,26,معتمدة,,
2018,نوفمبر,الرياض,حي/البديعة,10133640,9768.45,17,معتمدة,,
2018,ديسمبر,الرياض,حي/البديعة,18279711,15336.97,29,معتمدة,,
2018,يناير,الرياض,حي/البرية,0,0.0,0,معتمدة,,
2018,فبراير,الرياض,حي/البرية,200000,1230.0,2,معتمدة,,
2018,مارس,الرياض,حي/البرية,105000,690.0,1,معتمدة,,
2018,ابريل,الرياض,حي/البرية,90000,375.0,1,معتمدة,,
