year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,مايو,مكة المكرمة,حي/البوابه رقم 8,50000,669.62,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/البوابه رقم 8,800000,450.0,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/التخصصى,4400000,1591.23,3,معتمدة,,
2018,فبراير,مكة المكرمة,حي/التخصصى,8850000,972.19,2,معتمدة,,
2018,مارس,مكة المكرمة,حي/التخصصى,1000000,300.0,1,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التخصصى,4000000,791.68,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/التخصصى,2000000,330.0,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التخصصى,676873,579.53,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/التخصصى,1200000,663.45,1,معتمدة,,
2018,فبراير,مكة المكرمة,حي/التخصصى المعتمد,7815000,1986.55,3,معتمدة,,
2018,مارس,مكة المكرمة,حي/التخصصى المعتمد,3000000,659.48,1,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التخصصى المعتمد,4100000,1205.19,3,معتمدة,,
2018,مايو,مكة المكرمة,حي/التخصصى المعتمد,1900000,1181.94,2,معتمدة,,
2018,يونيو,مكة المكرمة,حي/التخصصى المعتمد,3700000,2563.66,3,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/التخصصى المعتمد,1900000,322.66,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/التخصصى المعتمد,5970000,633.54,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التخصصى المعتمد,3500000,642.6,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/التخصصى المعتمد,1438000,665.63,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/التنعيم,2250000,1882.76,2,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التنعيم,200000,439.52,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/التنعيم 13,480000,780.0,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/التنعيم 4,4945000,3559.7,9,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التنعيم 4,2315000,1481.28,4,معتمدة,,
2018,مايو,مكة المكرمة,حي/التنعيم 4,2935000,1934.4,5,معتمدة,,
2018,يونيو,مكة المكرمة,حي/التنعيم 4,1450000,1035.0,2,معتمدة,,
2018,يوليو,مكة المكرمة,حي/التنعيم 4,550000,221.28,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/التنعيم 4,3870000,860.0,2,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/التنعيم 4,3049860,1193.7,3,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/التنعيم 4,800000,641.28,2,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التنعيم 4,3899200,1865.0,4,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/التنعيم 4,4170000,2997.5,6,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التنعيم بحى العمرة,1625000,825.69,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/التنعيم رقم 3,3838643,1712.6299999999999,6,معتمدة,,
2018,فبراير,مكة المكرمة,حي/التنعيم رقم 3,600000,215.78,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/التنعيم رقم 3,5715250,5573.3,9,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التنعيم رقم 3,3005000,870.48,2,معتمدة,,
2018,مايو,مكة المكرمة,حي/التنعيم رقم 3,600000,660.0,1,معتمدة,,
2018,يونيو,مكة المكرمة,حي/التنعيم رقم 3,50500,45.4575,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/التنعيم رقم 3,3853696,4164.8,7,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/التنعيم رقم 3,2220000,3630.0,5,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/التنعيم رقم 3,3323016,1684.04,5,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/التنعيم رقم 3,1867675,1289.6499999999999,4,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التنعيم رقم 3,4458661,3469.47,7,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/التنعيم رقم 3,8638871,6536.03,13,معتمدة,,
2018,يناير,مكة المكرمة,حي/التنعيم رقم 4,1290000,940.0,2,معتمدة,,
2018,فبراير,مكة المكرمة,حي/التنعيم رقم 4,1467067,1407.5,2,معتمدة,,
2018,ابريل,مكة المكرمة,حي/التنعيم رقم 4,4340000,1802.0,4,معتمدة,,
2018,مايو,مكة المكرمة,حي/التنعيم رقم 4,4540000,2712.5,5,معتمدة,,
2018,يونيو,مكة المكرمة,حي/التنعيم رقم 4,450000,460.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/التنعيم رقم 4,300000,650.0,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/التنعيم رقم 4,2050000,900.0,2,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/التنعيم رقم 4,3021656,2035.0,4,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/التنعيم رقم 4,740000,1007.5,2,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/التنعيم رقم 4,4839000,3327.0,5,معتمدة,,
2018,مارس,مكة المكرمة,حي/الجزء المتبقى من اراضى الشوقية,1007018,639.76,1,معتمدة,,
2018,ابريل,مكة المكرمة,حي/الجزء المتبقى من اراضى الشوقية,1190000,587.0029999999999,2,معتمدة,,
2018,يونيو,مكة المكرمة,حي/الجزء المتبقى من اراضى الشوقية,2100000,660.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الجزء المتبقى من اراضى الشوقية,2890000,874.86,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/الجزء المتبقى من اراضى الشوقية,600000,252.33,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/الجعرانة,7400000,107224.86,4,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الجعرانة,170000,507.51,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/الجعرانة حى النور,860000,503.15,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/الجعرانة على يمين الذاهب الى مسجد جعرانه,149000,474.87,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/الجعرانة على يمين الذاهب الى مسجد جعرانه,235000,497.23,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/الجعرانه,11803000,53057.159999999996,7,معتمدة,,
2018,فبراير,مكة المكرمة,حي/الجعرانه,600000,1484.28,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/الجعرانه,1200000,62680.01999999999,6,معتمدة,,
2018,ابريل,مكة المكرمة,حي/الجعرانه,100000,652.37,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/الجعرانه,90000,1163.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الجعرانه,370000,899.16,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/الجعرانه,460000,1994.53,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/الجعرانه,1500000,46218.72,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/الجعرانه,470000,20757.989999999998,3,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/الجعرانه,575000,3362.38,3,معتمدة,,
